the_geom,name,description,timestamp,begin,_end,altitudemode,tessellate,extrude,visibility,draworder,icon,created_at,updated_at,country,max_alt,min_alt,resort_alt,piste_km,cartodb_id,black_runs,red_runs,blue_runs,green_runs,resort_website
0101000020E6100000EA3036DF4E531840A42C6C9B1CCF4640,Aillons-Margeriaz,"
        
        <table style='width:350px'>
        <tr><td>
        <b><a href=""http://www.france-montagnes.com//station/730027-aillons_margeriaz/"">Aillons-Margeriaz</a></b><br />
        <a href='http://www.france-montagnes.com/index.php?option=com_gmap&amp;massif=1&amp;Itemid=2'>Alpes du nord</a> &gt; <a href='http://www.france-montagnes.com/index.php?option=com_gmap&amp;massif=1&amp;Itemid=2&amp;dept=73'>Savoie</a>        </td>
        <td><img src=""http://www.skifrance.fr/images/logosStations/730027.gif"" alt='Aillons-Margeriaz' /></td>
        </tr>
        </table>

<center>





</center>
<br />
<a href=""http://www.france-montagnes.com//station/730027-aillons_margeriaz/&task=webcams"">Webcams</a> | 
<a href=""http://www.france-montagnes.com/index.php?option=com_recherche&Itemid=20&Itemid=20&searchtype=bp&q=Aillons-Margeriaz"">Bons plans</a>
<hr />
    <div style=""text-align:right""><a href=""http://www.france-montagnes.com/""><img src=""http://www.france-montagnes.com/images/logos/logo_fm.png"" border=""0"" /></a></div>

        ",,,,,-1,1300,-1,,,2013-11-20 18:56:42.927+00,2013-12-07 20:52:58.535+00,FR,2500,1100,1200,365,1,,,,,
0101000020E61000008DB5BFB33D4A184046BEE00DC88B4640,Alpe d'Huez,"
        
        <table style='width:350px'>
        <tr><td>
        <b><a href=""http://www.france-montagnes.com//station/380001-alpe_d_huez/"">Alpe d'Huez</a></b><br />
        <a href='http://www.france-montagnes.com/index.php?option=com_gmap&amp;massif=1&amp;Itemid=2'>Alpes du nord</a> &gt; <a href='http://www.france-montagnes.com/index.php?option=com_gmap&amp;massif=1&amp;Itemid=2&amp;dept=38'>Is̬re</a>        </td>
        <td><img src=""http://www.skifrance.fr/images/logosStations/380001.gif"" alt='Alpe d'Huez' /></td>
        </tr>
        </table>

<center>





</center>
<br />
<a href=""http://www.france-montagnes.com//station/380001-alpe_d_huez/&task=webcams"">Webcams</a> | 
<a href=""http://www.france-montagnes.com/index.php?option=com_recherche&Itemid=20&Itemid=20&searchtype=bp&q=Alpe d'Huez"">Bons plans</a>
<hr />
    <div style=""text-align:right""><a href=""http://www.france-montagnes.com/""><img src=""http://www.france-montagnes.com/images/logos/logo_fm.png"" border=""0"" /></a></div>

